pairing_name,heading_font,body_font,mood,best_for,google_fonts
Classic Editorial,"Playfair Display","Source Sans 3",Elegant refined traditional,"Blogs, magazines, luxury brands",Yes
Modern Professional,"Space Grotesk","Inter",Clean modern professional,"SaaS, enterprise, tech startups",Yes
Humanist Warmth,"Nunito","Lora",Friendly approachable warm,"Education, wellness, healthcare",Yes
Bold Statement,"Bebas Neue","Work Sans",Impactful direct energetic,"Sports, fitness, events",Yes
Tech Precision,"JetBrains Mono","DM Sans",Technical precise reliable,"Developer tools, fintech, dashboards",Yes
Creative Playful,"Fredoka One","Quicksand",Fun playful youthful,"Children's apps, games, creative tools",Yes
Luxury Minimal,"Cormorant Garamond","Montserrat",Sophisticated minimal luxurious,"Fashion, architecture, galleries",Yes
Newspaper Strong,"Merriweather","Open Sans",Authoritative readable trustworthy,"News, legal, government",Yes
Geometric Modern,"Outfit","Plus Jakarta Sans",Contemporary geometric clean,"Product design, portfolios, agencies",Yes
Swiss Clean,"Archivo","IBM Plex Sans",Systematic professional structured,"Corporate, finance, enterprise",Yes
Organic Friendly,"Comfortaa","Karla",Soft welcoming natural,"Food delivery, wellness, eco brands",Yes
Retro Revival,"Righteous","Poppins",Nostalgic bold characterful,"Entertainment, music, vintage brands",Yes
Minimal Elegant,"Crimson Pro","Cabin",Refined understated graceful,"Photography, publishing, wine",Yes
Urban Bold,"Oswald","Rubik",Strong urban impactful,"Real estate, automotive, construction",Yes
Startup Fresh,"Sora","Manrope",Modern innovative fresh,"Tech startups, AI products, mobile apps",Yes
Display Impact,"Clash Display","Satoshi",Bold distinctive modern,"Creative agencies, portfolios, events",No
Rounded Soft,"Varela Round","Nunito Sans",Approachable gentle smooth,"Healthcare, children, education",Yes
Code & Copy,"Fira Code","Fira Sans",Technical readable precise,"Developer docs, API platforms, coding tools",Yes
Art Gallery,"DM Serif Display","DM Sans",Artistic refined cultured,"Galleries, museums, cultural institutions",Yes
Maximum Contrast,"Anton","Roboto Flex",High impact dynamic bold,"Sports, gaming, action brands",Yes
